Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,Z_mm_smoothed,B_px,X_mm,X_mm_smoothed,Y_mm,Y_mm_smoothed
9,1,456,411,477,435,47.24281378301601,271.02951868754076,47.40821644112822,302.90922732726386,0.6155,5,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.1771,0.0555,3.3695,4.0919,286.084,4.8657,4.9198,-5.2785,-5.3277
9,10,466,371,476,379,39.337622093346205,250.83261350948763,39.30469796956008,263.6380093992518,0.9027,5,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.768,0.0249,1.4749,1.4749,257.0759,4.9906,4.9906,-4.0878,-4.0878
9,8,379,178,387,175,342.37198063218034,112.27199116431488,342.16498505733193,120.8056290079233,0.7545,5,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.0716,0.0366,2.1994,2.2668,116.3826,2.7817,2.8984,0.8896,1.0357
10,6,129,446,113,471,121.42956561483851,274.23530042647684,121.54574781929654,303.9111712326482,0.741,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.7082,0.0513,3.1089,3.3569,288.3116,-3.7792,-3.7607,-6.1694,-6.0124
10,7,320,411,325,432,76.43894759928276,204.70710783946902,76.45502663205447,226.29405648403582,0.8369,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.5699,0.0501,3.032,3.0187,214.96,1.2641,1.3492,-5.244,-5.2166
10,1,456,411,477,436,47.24281378301601,271.02951868754076,47.53591809861778,303.64617567161946,0.4536,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.3118,0.0568,3.4443,3.4069,286.4122,4.8651,4.8654,-5.2903,-5.2844
10,10,466,371,476,379,39.337622093346205,250.83261350948763,39.30469796956008,263.6380093992518,0.9395,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.768,0.0249,1.4749,1.4749,257.0759,4.9906,4.9906,-4.0878,-4.0878
11,7,326,422,332,444,75.57922687248902,216.83173199511182,75.49983323344743,239.63305281200255,0.7845,1,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.555,0.05,3.0238,3.0129,227.6629,1.4268,1.3818,-5.532,-5.3844
12,7,329,425,335,448,75.01836742760908,220.4948979001555,75.05347317571665,244.2642012248213,0.8133,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.6875,0.0511,3.0974,3.0167,231.7717,1.5017,1.4368,-5.6189,-5.5170
12,4,379,304,387,312,40.68937417517947,141.1134295522577,41.00908690157022,152.3975065412817,0.66,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.2754,0.0384,2.3126,2.3412,146.5386,2.7813,2.7862,-2.4055,-2.4179
12,11,390,206,399,206,357.0891621738322,118.15244390193544,357.29512401426433,127.1416532848303,0.7853,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.0754,0.0366,2.2015,2.3843,122.4823,3.0699,3.0608,0.1504,0.1670
