Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm,B_mm
32,2,156,426,147,443,117.97279266495207,236.64741705752886,117.96711550611938,255.88278566562465,0.9617,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.849,0.0391,3.0707,245.8895,-2.8942,-5.4495,6.1704
32,3,459,199,473,198,354.6441749571448,192.84190415985836,354.7303469173082,206.87435800504613,0.828,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7632,0.0351,2.7579,199.6118,4.9872,0.4676,5.0091
33,2,160,422,151,439,117.56236246502958,231.2444593930847,117.58808136574584,250.4795400826183,0.8479,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8681,0.0399,3.1401,240.4780,-2.7923,-5.3497,6.0346
33,3,463,195,477,194,353.59564727361584,197.2308292331602,353.7496604222195,211.25576915199264,0.7665,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7464,0.0343,2.6967,204.0025,5.0873,0.5710,5.1193
34,2,166,417,157,433,116.79377562880317,224.0557966221807,116.98789058174849,242.39636960977776,0.7159,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8548,0.0393,3.0917,232.8655,-2.6342,-5.2162,5.8436
34,4,23,348,4,358,151.7693050691079,276.94223224347706,151.80327640203575,298.41246622753545,0.8598,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8113,0.0373,2.9330,287.2768,-6.3514,-3.4100,7.2090
34,3,467,190,483,188,352.3115522300971,201.8142710513803,352.3532379864328,217.9380645963435,0.8613,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8351,0.0384,3.0199,209.5665,5.2116,0.7036,5.2589
35,2,170,411,162,427,116.56505117707799,216.8985938174796,116.56505117707799,234.7871376374779,1.0,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.861,0.0396,3.1143,225.4886,-2.5305,-5.0611,5.6584
35,3,473,185,488,183,351.17025533209096,208.47062143141417,351.25383773744477,223.6000894454204,0.7967,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7613,0.035,2.7508,215.7705,5.3504,0.8311,5.4146
36,2,173,408,165,424,116.20394810417116,212.8778992756176,116.23193993315664,230.76611536358627,0.8847,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8766,0.0403,3.1711,221.4614,-2.4540,-4.9862,5.5574
36,4,31,340,12,350,152.4720851972858,266.1296676434253,152.4548677932286,287.60041724587256,0.8613,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.843,0.0388,3.0486,276.4488,-6.1518,-3.2063,6.9372
36,3,476,181,492,179,350.2267735128206,212.07781590727495,350.41383984465574,228.18632737304836,0.6898,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7954,0.0366,2.8753,219.8374,5.4366,0.9364,5.5166
37,2,177,403,169,419,115.82099197418928,206.63010429267078,115.88027367006886,224.51725991557976,0.8159,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.9019,0.0415,3.2635,215.2026,-2.3522,-4.8611,5.4003
37,4,35,335,16,345,153.04116959683518,260.2844597743015,152.98022996122887,281.7534383108749,0.8175,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8611,0.0396,3.1146,270.5938,-6.0524,-3.0784,6.7903
37,3,480,177,496,174,349.3641044239643,216.72332592501436,349.3652390612597,233.00214591286493,0.9311,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7869,0.0362,2.8443,224.5681,5.5385,1.0401,5.6353
38,2,179,402,171,417,115.43929646747563,204.86336910243372,115.64100582430528,221.84679398179276,0.7134,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8653,0.0398,3.1299,213.0171,-2.2962,-4.8272,5.3455
38,4,36,333,18,342,153.33582127561036,258.48984506165806,153.34298135854587,278.61442891566116,0.9519,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8146,0.0375,2.9451,268.1751,-6.0139,-3.0200,6.7296
38,3,482,175,498,171,348.94653752077977,219.06391761310215,348.73777424227643,235.53555994796199,0.6894,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7877,0.0362,2.8472,227.0013,5.5907,1.0921,5.6964
39,2,179,401,172,416,115.55996517182382,203.9607805437114,115.51919977172064,220.5130381632796,0.9266,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8477,0.039,3.0660,211.9142,-2.2944,-4.7974,5.3178
39,3,483,174,499,170,348.74108779701186,220.238507078122,348.54765908804814,236.7129062810053,0.687,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7838,0.0361,2.8329,228.1787,5.6157,1.1179,5.7259
40,2,180,399,173,414,115.54882463540712,201.72506041639943,115.50848649788338,218.27734651126764,0.9134,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8568,0.0394,3.0989,209.6750,-2.2692,-4.7471,5.2616
40,4,38,330,19,340,153.73597466701838,255.36248745655655,153.620071860515,276.82666056577716,0.8627,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8768,0.0403,3.1719,265.6617,-5.9783,-2.9500,6.6665
