Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm,B_mm
11,2,516,240,549,244,6.546290783294036,245.60130292814003,6.589795542976654,278.84224930953343,0.7813,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.378,0.0634,3.8512,261.1683,6.5111,-0.7472,6.5538
11,3,381,121,397,107,320.1427645578842,141.9929575718458,319.9697407281103,163.24827717314508,0.7642,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.5139,0.0696,4.2292,151.8806,2.9257,2.4426,3.8113
11,4,383,91,399,73,312.53188208617144,164.20109622045769,312.4169793313649,188.2817038376273,0.7955,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4852,0.0683,4.1496,175.4188,2.9757,3.2438,4.4020
11,5,144,60,126,38,229.89909245378774,198.71587757398754,230.00064459755845,227.13872413131145,0.7888,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.451,0.0667,4.0544,211.9788,-3.4264,4.0689,5.3194
12,2,521,239,555,244,6.188615963241602,250.4595775769016,6.451272993927394,284.80344099044873,0.6273,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.3949,0.0642,3.8983,266.5297,6.6493,-0.7210,6.6883
12,3,386,120,402,106,321.09586154459583,146.4923206178399,320.8067269055316,167.73789077009405,0.7281,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4699,0.0676,4.1069,156.3969,3.0541,2.4647,3.9246
12,4,388,91,404,73,313.7914075679731,167.621597653763,313.52036422910317,191.68985366993215,0.7038,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4562,0.067,4.0690,178.8496,3.1059,3.2398,4.4881
12,5,149,59,131,37,231.20344790169182,196.31097778779463,231.1411106168768,224.73539997072112,0.8055,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4676,0.0675,4.1007,209.5637,-3.2949,4.0986,5.2588
13,2,528,239,565,243,6.020656176836423,257.41989045137905,6.03954198916355,294.63536787018626,0.8353,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4655,0.0674,4.0949,274.7732,6.8572,-0.7232,6.8952
13,3,393,119,410,105,322.45429881274845,152.6106156202772,322.2113484475737,174.62244987400675,0.7405,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4624,0.0673,4.0860,162.8762,3.2406,2.4907,4.0872
13,4,395,90,412,72,315.23385902587324,173.24260445975753,315.0,197.9898987322333,0.7179,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4492,0.0667,4.0495,184.7914,3.2923,3.2656,4.6372
13,5,156,58,139,36,233.01123161285602,192.80041493731284,232.92232165300067,220.60145058453264,0.8079,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.462,0.0672,4.0850,205.7661,-3.1067,4.1244,5.1635
14,2,535,238,574,242,5.64587654659576,264.2820463065927,5.67302213992532,303.48640826238,0.8101,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.5011,0.069,4.1939,282.5307,7.0555,-0.6975,7.0899
14,3,400,118,419,104,323.7073702715204,158.80806024884254,323.69550287742476,182.40888136272312,0.8476,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.5037,0.0692,4.2009,169.7923,3.4342,2.5220,4.2608
14,4,402,89,421,70,316.58485439305053,178.96647730790255,316.37798324630495,205.8275977608445,0.7399,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.5176,0.0698,4.2396,191.4595,3.4900,3.3020,4.8045
14,5,164,56,147,33,235.30484646876602,189.73665961010275,235.07247783743895,218.32544515012444,0.7305,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.5231,0.0701,4.2549,203.0296,-2.9000,4.1889,5.0948
15,2,542,237,580,241,5.290081205371269,271.15493725912495,5.378874736678853,309.3622472119053,0.7717,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4308,0.0658,3.9983,289.0013,7.2213,-0.6686,7.2522
15,3,407,117,428,103,324.86580694308435,165.07574019219177,325.0573089149638,190.30764566879597,0.773,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.5435,0.071,4.3117,176.7960,3.6282,2.5532,4.4365
15,4,410,88,430,69,318.05869757409585,185.52627846210896,317.85291131078634,213.10326135467753,0.7397,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.504,0.0692,4.2017,198.3609,3.7026,3.3269,4.9777
15,5,171,55,155,32,237.2463328596804,186.6815470259447,236.97613244420336,214.68348795377813,0.705,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.5167,0.0698,4.2372,199.7057,-2.7113,4.2146,5.0114
16,2,553,237,593,240,5.084103409594445,282.10990766011747,4.985144889457957,322.21886971436044,0.73,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4429,0.0664,4.0318,300.8334,7.5194,-0.6690,7.5491
16,3,418,116,440,101,326.6737103128848,174.73408368146153,326.54669054592733,201.357890334598,0.7916,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.539,0.0708,4.2991,187.1036,3.9231,2.5796,4.6952
16,4,421,86,443,67,319.78088387483194,195.13328778042973,319.70361470429316,224.2008028531566,0.8011,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.507,0.0693,4.2101,208.6596,3.9982,3.3810,5.2361
16,5,182,53,168,29,240.4885014429097,182.70467974302136,240.39017037872804,210.48752932181043,0.8049,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.5361,0.0707,4.2912,195.6145,-2.4181,4.2719,4.9088
17,2,565,237,607,240,4.876906286643747,294.06461874900896,4.777795786167769,336.1681127055331,0.7394,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4524,0.0668,4.0582,313.7100,7.8438,-0.6693,7.8723
17,3,431,115,455,101,328.61418274482935,186.25251676151922,328.7607851117912,214.03270778084362,0.7934,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.5088,0.0694,4.2151,199.1786,4.2669,2.6031,4.9982
17,4,434,86,458,67,322.1250163489018,205.23157651784484,322.06109397358614,235.84104816592043,0.8128,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.5087,0.0694,4.2149,219.4742,4.3474,3.3813,5.5075
