Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Z_mm,B_px,X_mm,Y_mm
12,1,89,400,69,420,134.20648038538764,255.29003114105336,134.28562580424114,283.5718603811034,0.9265,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
12,2,378,405,389,424,59.44131292928861,218.3231549790356,59.48609402047973,240.2769235694514,0.8357,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
12,3,195,345,187,358,119.35775354279127,146.86047800548656,119.56953133326778,162.1141573089778,0.7727,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
12,4,156,199,133,194,189.21102654081665,112.44998888394787,189.73944594549724,135.95955280891445,0.5719,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
13,1,89,400,69,420,134.20648038538764,255.29003114105336,134.28562580424114,283.5718603811034,0.9265,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
13,2,378,405,389,424,59.44131292928861,218.3231549790356,59.48609402047973,240.2769235694514,0.8143,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
13,3,195,345,186,359,119.35775354279127,146.86047800548656,119.70140954541058,163.47782724271815,0.6803,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
13,4,156,199,134,194,189.21102654081665,112.44998888394787,189.81125686799604,134.97407158413796,0.5558,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
14,1,89,400,69,420,134.20648038538764,255.29003114105336,134.28562580424114,283.5718603811034,0.9265,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
14,2,378,405,389,425,59.44131292928861,218.3231549790356,59.606737354447,241.1389640850271,0.7327,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
14,3,195,345,187,358,119.35775354279127,146.86047800548656,119.56953133326778,162.1141573089778,0.7727,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
14,4,156,199,133,194,189.21102654081665,112.44998888394787,189.73944594549724,135.95955280891445,0.5719,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
15,1,89,400,69,420,134.20648038538764,255.29003114105336,134.28562580424114,283.5718603811034,0.9265,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
15,2,378,405,390,425,59.44131292928861,218.3231549790356,59.40221579066578,241.6464359348178,0.8928,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
15,3,195,345,187,358,119.35775354279127,146.86047800548656,119.56953133326778,162.1141573089778,0.7273,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
15,4,156,199,133,194,189.21102654081665,112.44998888394787,189.73944594549724,135.95955280891445,0.5738,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
16,1,86,405,66,426,133.9132185470018,260.969346858975,133.8821754176139,289.968963856479,0.7081,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
16,2,375,410,385,430,60.769256597841775,221.16283593768642,61.01395882732633,243.50154003619772,0.6691,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
16,3,192,350,183,364,119.4190761517484,152.6892268629323,119.74488129694222,169.30741271426953,0.6656,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
16,4,166,207,149,203,185.6544208226407,101.49384217774002,186.76617482255307,118.82760622010359,0.3953,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
