Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Z_mm,B_px,X_mm,Y_mm
15,5,606,52,631,40,334.7737208843808,363.68392870733237,334.7443386423326,391.41410296513334,0.8525,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.8853,377.0398,8.5581,4.0347
16,1,136,404,125,420,125.59266412779309,242.26019070412704,125.51222431541115,261.6734606336684,0.8472,4,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0237,251.5929,-3.6708,-5.1367
16,6,612,346,637,357,22.534802347420158,362.6927073984256,22.619864948040426,390.0,0.8432,4,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.8511,375.851,8.7087,-3.6213
16,4,263,130,262,125,259.695153531234,78.26237921249263,259.6336773965495,83.3606621854697,0.8829,4,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.4869,80.7311,-0.3635,1.993
16,5,595,43,620,30,332.71878887745163,357.7988261579403,332.7046829523811,385.976683233586,0.9365,4,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9746,371.354,8.2817,4.2724
17,1,130,397,118,412,127.72855444941892,240.22697600394508,127.79750461852345,259.43399931389104,0.9195,7,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0173,249.4613,-3.8337,-4.9488
17,6,605,339,631,350,21.921778593959143,353.5647041207592,21.996481911885127,381.7918280948402,0.756,7,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0131,367.1365,8.5445,-3.4454
17,7,125,205,113,206,180.75384833307078,152.0131573252789,180.34936017950278,164.00304875214974,0.6323,7,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9789,157.7807,-3.9592,0.0376
17,8,254,128,251,121,253.7676493388438,82.28000972289685,253.17859010995917,89.8443097808648,0.5854,7,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.4408,85.8959,-0.6136,2.0663
17,4,257,124,254,117,256.4520610119995,85.37564055396598,255.66456458047986,92.89241088485109,0.5229,7,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.3038,88.9756,-0.5386,2.1668
17,9,604,43,630,30,333.3649051175792,365.8209944768069,333.37006121814517,394.8898580617132,0.8159,7,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9998,379.8,8.5195,4.2723
17,5,588,35,612,22,331.0550078078094,355.39414739131536,331.0908163488522,382.6878623630491,0.8587,7,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9049,368.5364,8.0943,4.4732
18,1,122,388,109,403,130.57521554825604,238.29813259864207,130.6012946450045,258.14724480420085,0.9271,5,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.1359,247.8259,-4.0462,-4.7227
18,6,598,330,623,340,20.96571184055742,343.7586362551492,21.026413644287477,370.6818042472546,0.7226,5,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9591,356.7129,8.357,-3.2075
18,4,249,115,247,108,253.07248693585296,96.16652224137046,253.14160123226173,103.4456378974,0.8479,5,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.8654,99.6734,-0.7268,2.3933
18,9,597,35,622,21,331.7419703852931,363.29602254910526,331.66954191445996,391.94514922371474,0.6774,5,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9783,377.0772,8.3318,4.4854
18,5,580,27,604,13,329.2871722848411,352.432972350772,329.32052330682814,380.2170432792302,0.8479,5,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9775,365.7982,7.8933,4.6858
19,1,116,379,103,393,133.10803458164054,235.5949914577982,133.09084756700364,254.69982332149348,0.9028,6,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0577,244.7752,-4.1969,-4.485
19,6,591,322,616,330,20.114854377490417,334.39647127324776,19.942384581696977,360.62445840513925,0.5774,6,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9632,347.0156,8.1816,-2.9819
19,7,112,188,98,187,186.56876412182112,166.0903368652132,186.3753209748085,180.1138528820035,0.7901,6,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.1762,172.8181,-4.3091,0.4885
19,4,243,106,240,98,251.3950345261977,106.56922632730333,251.2502423696889,115.10864433221339,0.9224,6,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0235,110.6745,-0.8895,2.631
19,9,591,26,615,11,330.03942719128713,362.43206259932356,329.8913408641932,390.7172890978847,0.5417,6,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9493,376.0435,8.1691,4.7236
19,5,574,18,597,4,327.5288077091515,352.03692988094303,327.6099795748192,378.957781289684,0.8362,6,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.8932,365.0016,7.731,4.9118
20,10,69,460,53,478,129.42479942996206,327.5255715207593,129.57605535900805,351.5920931989228,0.7422,5,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.7864,339.1324,-5.4135,-6.5664
20,1,107,364,93,377,137.27661498197082,231.40656861895687,137.26475454822344,250.51147678300092,0.917,5,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.1098,240.5803,-4.4347,-4.0964
20,6,582,306,606,314,17.982920493402002,320.66493416025395,18.015974356659296,345.96242570545144,0.9482,5,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9794,332.8337,7.9434,-2.581
20,7,103,173,89,171,191.05641298024818,177.29072169744248,190.84030545433055,191.41577782408638,0.7614,5,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0072,184.0827,-4.5354,0.877
20,4,234,91,230,82,249.66077788734776,123.71337841963576,249.39373938616316,133.5440002396214,0.7468,5,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9998,128.4409,-1.1276,3.0194
21,10,60,443,43,462,132.59827345797848,320.6009981269553,132.54095600989538,346.0939178893498,0.7359,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0017,332.8601,-5.6504,-6.1516
21,1,97,348,83,359,141.92721812600917,228.65038814749474,141.921117638435,246.45486402179202,0.923,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.943,237.219,-4.686,-3.6711
21,6,574,290,597,297,15.613620039649103,308.37963616296065,15.708637829015744,332.41540277189324,0.7969,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9457,319.9467,7.7306,-2.1676
22,11,58,443,41,462,132.86027385939644,321.95807180438885,132.78395738493856,347.4492768736179,0.7929,5,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9896,334.2183,-5.7006,-6.1517
22,10,51,424,33,441,136.163862501664,313.31294259892934,136.1984816501185,338.07099846038255,0.8471,5,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9841,325.2215,-5.8886,-5.6505
22,1,88,329,73,338,147.15765033332448,224.95555116511352,147.29317312061653,242.4396832203837,0.8159,5,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9378,233.3706,-4.9241,-3.17
