Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold
41,10,324,136,387,69,309.2072035049678,98.08159868191383,311.15754687208516,189.9315666233499,0.6174,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
42,10,323,138,386,70,309.4995885297981,95.90099061010788,311.1287437680144,188.52055590836773,0.6504,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
43,10,324,140,384,72,310.73210669970916,95.01578816175763,311.0698244542745,185.69868066305693,0.7992,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
44,10,325,141,384,73,311.5834118082287,94.92101980067429,311.2733550767607,184.94593804677083,0.8102,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
45,10,325,141,383,73,311.5834118082287,94.92101980067429,311.0396881695416,184.2878183711555,0.7806,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
46,10,325,141,382,73,311.5834118082287,94.92101980067429,310.8043503082194,183.6327857437228,0.7621,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
47,10,325,140,381,72,311.18592516570965,95.67131231461184,310.3645365730973,183.74166647769363,0.758,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
47,13,377,318,383,323,42.667976318376944,156.40012787718558,42.531882086171464,164.20109622045769,0.922,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
48,10,324,140,381,71,310.73210669970916,95.01578816175763,310.1634165542647,184.50474248647376,0.7904,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
48,13,375,321,381,326,43.96775530843427,157.00318468107582,43.770665513522104,164.7938105633825,0.8802,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
49,10,323,140,380,70,310.2720121811578,94.36630754670864,309.7261040426482,184.62935844550833,0.8091,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
49,14,587,237,603,237,4.398705354995532,325.96012026013244,4.193068626416995,341.915194163699,0.6934,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
49,13,374,324,379,330,45.0,158.39191898578665,45.243810356104085,166.1715980545412,0.8449,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
50,10,322,139,379,69,309.41739424346895,94.49338601193207,309.28940686250036,184.76471524617463,0.8508,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
50,13,373,327,379,333,46.0139787227853,159.8311609167624,45.96286362563621,168.31518053936787,0.9504,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
51,10,322,137,378,68,308.6598082540901,96.04686356149273,308.8533743403533,184.91078930121952,0.8784,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
51,14,587,238,602,238,4.573921259900861,326.03834130359576,4.372931276881127,340.99266854288817,0.7598,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
51,13,374,331,379,336,46.73570458892839,163.41664541900252,46.66372500429159,170.48460341039598,0.9084,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
52,10,322,136,377,67,308.2901631922431,96.82974749528164,308.418055344822,185.06755523321746,0.9226,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
52,13,375,333,381,338,46.95806742923404,165.55965692160635,46.63657704161672,173.31185764395926,0.7631,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
53,10,322,136,376,67,308.2901631922431,96.82974749528164,308.1746735355244,184.44782460088814,0.9293,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
53,13,375,334,381,340,47.193234576375545,166.29191201017565,47.08677727557077,174.77127910500627,0.8563,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
54,10,322,138,375,66,309.0355128987469,95.26804291051643,307.7388894188927,184.6212338816963,0.8223,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
54,13,375,335,381,341,47.42633583160236,167.0269439342048,47.30906278902568,175.50498568416796,0.8687,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
55,10,323,140,375,65,310.2720121811578,94.36630754670864,307.5497509313438,185.41305239923105,0.6609,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
55,14,585,240,600,240,4.954431234950782,324.211350819184,4.735583035029397,339.1577803913689,0.7397,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
55,13,375,337,381,343,47.88641854386461,168.50519279832298,47.74808818005375,176.98022488402484,0.8375,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
56,10,324,141,374,65,311.1287437680144,94.26027795418386,307.3039482779834,184.8053029542172,0.5549,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
56,14,584,241,598,241,5.146294688159993,323.3032632065442,4.9329466286773735,337.24916604789405,0.7358,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
56,13,374,339,381,345,48.59125903720553,169.33103672983285,48.179830119864235,178.46568297574746,0.6976,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
59,15,94,176,45,154,192.09475707701208,171.81385275931623,194.96427968070722,224.61745257214542,0.3777,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
60,15,95,173,43,154,193.14486761755072,171.49344010777787,194.83367070569858,226.55021518418383,0.6167,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
60,14,581,245,596,245,5.9061411137705,320.7023542164915,5.642646795781082,335.6262802582658,0.6969,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
60,13,370,346,377,352,51.13222249767931,172.10461934532728,50.59933933652057,181.1767093199344,0.546,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
61,15,96,169,41,155,194.522476034193,171.4788616710526,194.46245288217133,228.23233776132602,0.9173,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
61,13,369,347,376,353,51.59991698191387,172.2614292289484,51.04409216224111,181.3201588351389,0.5566,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
62,15,96,165,39,155,195.80854318463125,172.52536045462998,194.33811517161175,230.16950275829333,0.672,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
62,13,368,349,375,355,52.27006864537342,173.21951391226105,51.68386410803412,182.25805880673698,0.5295,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
63,15,97,162,39,156,196.85839876773827,172.40939649566667,194.0966820314938,229.92390045404153,0.4661,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
63,13,366,350,373,356,52.99747347180383,172.80046296234278,52.37376636133021,181.8158408940211,0.5289,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
64,16,284,88,287,67,280.06068979532296,125.93649193144932,279.7824070318073,147.13938969562162,0.8339,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
64,14,578,245,593,245,5.961810103660661,317.71842880135233,5.693454107345848,332.6409475695979,0.6912,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
64,13,365,351,372,357,53.46128814257136,173.0028901492689,52.815293546766874,182.00274723201295,0.5353,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
65,16,283,90,287,67,279.7666793957727,123.79418403139947,279.7824070318073,147.13938969562162,0.9053,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
66,16,283,92,286,67,279.9262455066517,121.82364302548172,279.39823299592604,146.972786596703,0.814,4,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
66,14,575,243,591,243,5.6562156345159735,314.5313974788527,5.382797915127315,330.45725896097366,0.7007,4,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
66,17,470,310,481,314,25.227649467428588,229.93042425916585,24.973910905883404,241.5884931034589,0.7845,4,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
66,13,361,353,368,360,54.9262455066517,172.28464818433474,54.38914756133125,182.04395073717774,0.6123,4,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
67,16,282,95,286,67,279.70039194394576,118.69709347747316,279.39823299592604,146.972786596703,0.8646,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
67,14,574,242,590,242,5.492324557127438,313.43898927861545,5.225927408966777,329.3690938749415,0.7303,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
67,17,471,308,481,312,24.670745094598104,229.99347816840373,24.54243488198146,240.75090861718465,0.8747,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
68,16,283,97,285,67,280.3486840879955,116.90166808048549,279.01320435564276,146.81280598094978,0.6893,4,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
68,14,573,241,589,241,5.327288448186667,312.3491635974074,5.068018126605165,328.28341414089135,0.7461,4,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
68,17,470,306,481,310,24.31930861118292,228.25424421026653,24.10797096284733,239.92707225321615,0.8349,4,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
68,13,360,356,364,361,55.762537223142466,174.18381095842403,55.60587231286241,180.56854654119581,0.6179,4,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
69,16,282,98,284,67,279.9506266879516,115.7410903698423,278.62735314406524,146.6594695203825,0.6894,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
69,14,573,240,588,240,5.144592057868091,312.2579062249665,4.909062138655492,327.2002444986862,0.7621,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
69,17,470,304,481,308,23.860175191342343,227.437903613272,23.670538484720456,239.11712611187014,0.858,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
