Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,Radius_A_px,Angle_B_deg,Radius_B_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold
35,2,170,411,162,427,117.13798987476147,223.61797781037194,117.09555249375181,241.50569351466643,0.6985,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
35,3,28,343,9,353,151.7693050691079,276.94223224347706,151.80327640203575,298.41246622753545,0.6113,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
35,1,473,185,489,183,352.3493490446406,202.80532537386685,352.38806240328506,218.92921230388603,0.6039,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
36,2,173,409,165,424,116.68126963739054,220.47675614449702,116.78085346926588,237.4721036248258,0.6265,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
36,3,31,340,12,350,152.02632008758357,272.88275870783775,152.04201287078368,294.3535289409658,0.5463,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
36,1,476,181,492,179,351.35939358617605,206.34194920083507,351.46923439005184,222.46123257772354,0.6573,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
37,2,177,404,169,419,116.3258217551244,214.21717951648975,116.45422775723222,231.2098613813866,0.5695,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
37,3,35,335,16,345,152.57125877832243,267.01685340067957,152.54671332768226,288.4874347350331,0.6116,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
37,1,480,177,496,174,350.44836254161817,210.92415698539605,350.3718438715133,227.2003521124032,0.6655,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
38,2,179,402,171,417,116.08053182203325,211.53959440256097,116.22868060216787,228.53008554673934,0.5688,2,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
38,3,36,333,18,342,152.85524739541813,265.2112365643658,152.89613292503924,285.33489096148054,0.6111,2,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
39,2,180,401,172,416,115.9555446004028,210.20228352708256,116.1139126302907,227.19154913860683,0.6245,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
39,3,37,331,18,341,153.1431222487857,263.41222446955646,153.07516843706014,284.8806767753826,0.6976,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
39,1,483,174,499,170,349.79076592393926,214.39449619801343,349.5175616024401,230.85276693165278,0.6233,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
40,2,180,399,173,414,116.19619932303777,208.40585404445815,116.10942833981593,224.95555116511352,0.697,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
40,3,38,330,19,340,153.23940084665117,262.0686932847951,153.1638351704382,283.5365937581955,0.6974,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
40,1,483,172,500,169,349.2656222065085,214.75800334329801,349.31966613439005,232.01939574095957,0.6544,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
41,2,182,397,174,411,115.94229548987168,205.73040611440985,116.21850834938742,221.82200071228283,0.5643,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
41,3,39,328,21,337,153.53339508259424,260.2786967848118,153.52632957401,280.40328100790833,0.6998,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
41,1,485,170,501,167,348.8453402610717,217.1013588165675,348.8826576561528,233.37951923851415,0.608,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
42,2,184,392,178,406,116.05349531049094,200.3596765818911,115.85186254206042,215.5736533067063,0.5929,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
42,3,42,323,24,332,154.23763927488682,255.38402455909414,154.17900802581073,275.506805723561,0.5579,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
42,1,488,166,504,162,347.97772331381645,220.8438362282271,347.83779648031816,237.32677893571133,0.6044,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
43,2,191,381,184,394,115.60793148921834,187.40864441108366,115.80453239994712,202.15835377248203,0.5431,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
43,3,49,312,31,320,155.8470812172278,244.3951718017359,155.86128465452438,264.09278672466615,0.5245,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
43,1,493,155,511,151,345.53754711782864,228.23233776132602,345.68206863687203,246.661711661944,0.6374,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
44,2,196,372,190,386,115.40771810894849,177.13271860387624,115.23283132320836,192.35384061671346,0.6355,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
44,3,54,304,37,311,157.11936282358232,236.61783533791362,157.1554468723351,255.0019607767752,0.6112,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
44,1,499,147,517,142,344.0212732247026,236.1228493814184,344.05460409907715,254.80384612481814,0.5757,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
45,2,199,365,193,378,115.50693808884903,169.5228598154243,115.44994567495195,183.8396040030548,0.593,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
45,3,57,297,40,304,158.4286928087454,231.19256043393784,158.3691131634821,249.57563983690395,0.5812,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
45,1,502,140,521,134,342.61761111877206,241.00622398602076,342.60667785308794,260.93102536877444,0.6088,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
46,4,106,447,94,466,125.23673303078894,287.7168747223562,125.02228737984944,310.16124838541646,0.5612,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
46,2,202,357,195,369,115.76932762433871,161.01242188104618,116.12545024179668,174.8656627242753,0.5709,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
46,3,59,288,42,294,160.36321811262587,226.15260334561705,160.37774386134916,244.18026128252055,0.6995,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
46,1,505,131,523,125,340.8305301428232,246.6779276708802,340.8829907839053,265.6501458685841,0.6034,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
47,4,98,456,95,460,125.49322801073431,299.6865028659115,125.51581751851657,304.6850833237492,0.3565,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
