Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold
44,4,441,255,499,269,15.901389934527437,178.84350701101786,15.318335793454574,238.47222060441337,0.5485,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
45,4,445,254,503,267,15.255118703057777,182.42806801586207,14.610906038225425,241.82018112638985,0.5291,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
46,4,449,248,507,259,13.134022306396323,184.83506160899236,12.554295153872955,243.82985871299684,0.621,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
47,4,465,247,530,259,11.814975236223228,200.24235316236172,11.478697168612872,266.32686683847726,0.7631,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
48,4,471,247,536,257,11.47347849848311,206.11889772653063,10.813877513624963,271.82715096178305,0.5324,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
48,5,478,248,544,259,11.362642467901845,213.17832910500073,10.908708083540807,280.0607077045975,0.5869,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
49,4,473,242,539,251,10.007979801441337,207.15211801958483,9.462322208025617,273.72431386341987,0.7742,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
49,5,481,244,547,253,10.162083194000758,215.37873618349607,9.595956436874104,281.94503010338735,0.5438,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
50,5,474,234,549,243,7.777637890129327,206.90335908341362,7.527615112420289,282.4340631014609,0.8112,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
51,5,469,225,535,229,5.42681249857282,200.90047287151916,4.941855049173352,266.9925092582187,0.6358,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
52,5,462,218,524,219,3.557851866118088,193.3726971420733,2.9184347207815593,255.3311575190149,0.6187,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
52,4,470,219,532,220,3.7005430551783416,201.41995928904365,3.0470895033857404,263.3723599772763,0.4892,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
54,4,458,196,526,192,356.9713014216594,189.2643653728826,356.8819109979547,257.381040482783,0.836,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
55,4,463,196,533,192,357.04922089099364,194.25756098540927,356.9644308749444,264.3709515056448,0.9684,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
56,4,466,194,537,189,356.51420881687784,197.36514383244068,356.3704291436788,268.5386378158644,0.8759,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
57,4,470,187,543,180,354.60002657667496,201.89601283829256,354.57940471623766,275.230812228573,0.9455,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
58,4,474,183,549,174,353.5984637598503,206.2862089428181,353.480198248343,281.82263926093657,0.8908,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
59,4,479,181,557,172,353.2110254255612,211.482859825566,353.2670786731404,290.0,0.9782,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
60,4,480,175,558,164,351.6419315563,213.2650932525058,351.7311672159564,292.0359566902678,0.895,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
