Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm
20,2,322,284,340,312,55.22216863363612,87.65842800324451,55.7842978675626,120.9297316626478,0.6576,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,17.7384,0.1595,9.7946,101.6406,1.4429,-2.1032
20,1,315,283,332,311,58.79948539601937,83.00602387778854,58.781597235653635,115.76268828944843,0.7059,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,18.3268,0.1648,10.1215,96.6852,1.2572,-2.0751
21,2,320,286,345,317,57.03059609653788,88.20430828479978,55.19150185002769,127.88275880665071,0.4507,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,20.4202,0.1836,11.2849,104.4006,1.4672,-2.1705
22,2,332,285,352,315,50.58260575653108,94.49338601193207,52.16354746583237,130.41855696180662,0.4466,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,17.7632,0.1597,9.8083,109.5868,1.7119,-2.1521
23,2,332,284,361,314,50.19442890773481,93.72299611087985,48.89370755509714,135.36986370680884,0.5258,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,20.2165,0.1818,11.1717,110.7609,1.8078,-2.1112
24,3,342,283,369,313,45.40634623330903,99.70456358662827,46.15733306812952,140.03570973148243,0.6205,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,18.7083,0.1682,10.3336,116.4777,2.0361,-2.0971
24,2,335,283,361,311,48.416588191771346,94.92101980067429,48.04477844419399,133.12400234367956,0.6799,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,18.6299,0.1675,10.29,110.8226,1.8536,-2.0731
25,3,344,281,372,309,43.78112476486871,99.72462083156798,44.127542877097966,139.31618714277246,0.732,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,18.419,0.1656,10.1728,116.2417,2.0989,-2.0257
25,2,337,280,365,307,46.29216688624993,94.06912352095134,45.6095065766752,132.94359706281458,0.6456,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,19.0436,0.1712,10.5199,110.1779,1.9243,-1.9852
26,3,345,280,375,307,42.96908576314689,99.76472322419383,42.686277502175784,140.12137595670404,0.7434,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,18.7087,0.1682,10.3338,116.5484,2.1458,-1.9873
27,3,364,286,396,315,38.8113840367584,118.06777714516353,39.71455325061741,161.19863522995473,0.5331,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,17.1753,0.1544,9.4816,136.3026,2.6456,-2.1679
