Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm
33,3,3.7891,-1.9435,449,302,27.460224887289066,143.1258187749506,26.952178931228943,198.56736892047493,0.5955,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.3758,0.1623,9.3758,166.3487,3.7891,-1.9435
34,3,4.0146,-1.9151,456,302,25.722526916337575,152.0690632574555,26.06466407828576,204.83163818121457,0.6907,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.2712,0.1478,9.2712,174.5503,4.0146,-1.9151
35,5,4.3785,-1.8923,472,302,24.211754310969685,163.37074401495514,24.22774531795417,219.31712199461307,0.731,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,8.8182,0.1462,8.8182,187.2544,4.3785,-1.8923
35,3,4.1144,-1.9097,464,301,24.928474135461272,156.58863304850706,24.86968797395873,211.62466774929618,0.7551,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.2502,0.1495,9.2502,179.9936,4.1144,-1.9097
36,5,4.4250,-1.8873,472,298,22.833654177917545,164.92422502470643,23.26770481005695,217.70622407271685,0.7318,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.0242,0.1379,9.0242,187.6747,4.4250,-1.8873
37,3,4.2479,-1.9110,491,301,22.221811225388603,177.15812146215595,22.11646558554305,236.39373934180236,0.7188,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.0121,0.1432,9.0121,202.5336,4.2479,-1.9110
37,5,4.4735,-1.8774,483,301,22.801016312172273,170.30854353202602,22.870063268237978,229.00218339570478,0.7153,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.1072,0.147,9.1072,195.3418,4.4735,-1.8774
38,5,4.6035,-1.8429,488,300,22.490178027112783,169.9235122047564,22.16634582208246,233.23807579381202,0.6397,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.1168,0.157,9.1168,196.6092,4.6035,-1.8429
39,5,4.7776,-1.8082,492,298,21.678589139614346,173.25414857947845,21.350980247653595,236.21176939348302,0.6212,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.1446,0.1538,9.1446,199.8929,4.7776,-1.8082
40,5,4.8914,-1.7120,500,295,19.90374953730784,185.05404615949362,20.003281091317294,242.6375898330677,0.6528,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.2072,0.1346,9.2072,209.9694,4.8914,-1.7120
41,5,4.9787,-1.6023,513,290,17.676108698653465,191.01832372837953,17.93424938852955,253.3081127796739,0.6376,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.1412,0.1402,9.1412,217.797,4.9787,-1.6023
42,5,5.0302,-1.4871,511,279,15.557686017530598,182.69373278796402,15.660029131843542,248.21361767638777,0.6576,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.1405,0.1521,9.1405,210.4725,5.0302,-1.4871
43,5,5.0540,-1.4201,507,274,14.89018236732713,179.0111728356641,14.779560180119557,243.04114877937852,0.7298,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.1707,0.1517,9.1707,206.1691,5.0540,-1.4201
44,5,5.0043,-1.3358,504,271,14.511059500169067,175.60182231400674,14.268443937373329,239.38462774372127,0.644,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.3607,0.1537,9.3607,202.5916,5.0043,-1.3358
45,6,5.8277,-1.2264,511,270,13.570434385161485,238.66294224282078,13.64071675629141,245.93698379869588,0.7669,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,3.5939,0.015,3.5939,242.2454,5.8277,-1.2264
46,6,5.8127,-1.1739,517,262,11.49656301758578,240.8318915758459,11.534620653644716,250.04999500099976,0.8521,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,5.0751,0.0188,5.0751,245.3544,5.8127,-1.1739
47,6,5.8441,-1.1237,530,259,10.565873271131503,196.32880583347927,10.32438800263078,262.24606765402604,0.7507,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,5.7496,0.1437,5.7496,224.5498,5.8441,-1.1237
48,6,5.8281,-1.0472,544,260,9.975126720458642,202.05444810743464,10.007979801441337,276.2028240261131,0.7479,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,6.9710,0.155,6.9710,233.3807,5.8281,-1.0472
49,6,5.7598,-0.9865,548,254,8.972626614896393,211.5892246783848,8.652541791114725,279.1773629791642,0.6441,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,8.9289,0.1377,8.9289,240.7292,5.7598,-0.9865
49,7,5.8160,-0.6477,539,252,8.724846869374478,204.36486977951958,8.520271877553913,269.97962886114203,0.8214,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,8.6805,0.1383,8.6805,232.6341,5.8160,-0.6477
50,7,5.7458,-0.5317,550,243,6.5507264711006945,210.3734774157617,6.362811476086147,279.72307734614964,0.6894,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,8.8881,0.1415,8.8881,240.1417,5.7458,-0.5317
51,7,5.6796,-0.3421,537,230,4.0444855741811025,198.4943324127921,3.885820075420881,265.6106172576691,0.7176,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,8.9968,0.1446,8.9968,227.1995,5.6796,-0.3421
