Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Z_mm,B_px,X_mm,Y_mm
21,1,69,424,47,446,133.75763566932574,293.51831288694746,133.87669728592456,324.6243983436858,0.6936,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9311,308.2887,-5.3565,-5.5818
21,2,352,414,367,451,68.39447275736153,217.26481537515457,68.32269670116987,257.1886467167631,0.6188,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,6.5327,235.547,2.1802,-5.4941
21,3,175,368,165,386,121.87313698127268,183.69812192834198,121.58912643561754,204.26698215815497,0.6563,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,4.1384,193.4373,-2.5524,-4.1289
22,1,65,427,43,450,133.9139541739936,298.4526763156933,133.89593535437413,330.28018408617856,0.8268,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9542,313.5608,-5.4565,-5.6692
22,2,354,432,363,455,69.55820344158344,234.78500803926983,69.46979861245414,259.4802497301095,0.7595,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9036,246.5157,2.1652,-5.7948
22,3,171,372,160,388,122.2621692961259,189.21152184790438,122.47119229084849,208.61447696648477,0.6654,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8119,198.4398,-2.6662,-4.2058
23,1,59,432,36,455,134.0738209646039,306.2172431461037,134.16275175565215,338.74031351464504,0.6879,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9392,321.6588,-5.6193,-5.7945
23,2,347,437,356,460,71.56505117707799,237.17082451262846,71.28826212490023,261.83964558485025,0.5888,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8629,248.8955,1.9901,-5.9203
23,3,164,376,153,394,123.36636600105957,196.36700333813724,123.17851165939277,217.45114393812693,0.7114,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9794,206.372,-2.8408,-4.33
24,1,50,433,27,456,135.12933562572283,313.2491021535417,135.1171691199249,345.77593901253454,0.8688,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8568,328.7098,-5.8452,-5.8202
24,2,340,438,347,460,73.2542494616799,236.00847442411893,73.17366736922783,259.0926475220785,0.7786,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.6468,247.0124,1.7903,-5.9344
24,3,156,377,144,395,125.10838027317783,201.6953147695801,124.97100193849154,223.32263655975405,0.7553,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9745,211.9587,-3.0536,-4.3551
25,1,41,439,16,463,135.50038709879226,323.86725675807367,135.56502881790746,358.52057123685387,0.6771,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9665,340.314,-6.0947,-5.982
25,2,329,443,336,466,76.13897243697885,237.92856070678022,75.85765335796732,261.9389241789009,0.5812,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.7551,249.3571,1.5147,-6.0713
25,3,146,383,133,401,126.3843518158359,212.40762698170704,126.33261282004453,234.61031520374377,0.7894,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8809,222.9576,-3.3168,-4.5058
26,1,39,440,14,463,135.62140491323592,325.99539874053437,135.7879080051799,359.95138560644546,0.6767,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8681,342.1329,-6.1455,-5.9953
26,2,323,427,328,444,76.65554901025965,220.9660607423683,76.42956561483852,238.66294224282078,0.4231,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0221,229.4738,1.3405,-5.6002
26,3,144,384,131,402,126.6561084159669,214.40149253211834,126.57930446798436,236.60304309116566,0.7961,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8469,224.9558,-3.367,-4.531
27,1,38,440,14,464,135.74405920288874,326.71088136148757,135.6740368979845,360.6494142515692,0.8252,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8583,342.8423,-6.1581,-6.0079
27,2,328,444,333,466,76.42956561483852,238.66294224282078,76.49573548348506,261.22212769977966,0.7539,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.5317,249.4335,1.465,-6.0854
27,3,144,384,131,402,126.6561084159669,214.40149253211834,126.57930446798436,236.60304309116566,0.8136,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8469,224.9558,-3.367,-4.531
28,1,35,444,10,469,135.6108060659021,331.6519259705874,135.5519653856302,367.0054495508207,0.9272,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9527,348.4342,-6.2449,-6.1198
